Year,Month,Project,Approved_Caseload,Pregnant_Women,Full_Breastfed_Women,Partial_Breastfed_Women,Postpartum_Women,Total_Women,Full_Breastfed_Infants,Partial_Breastfed_Infants,Full_Formula_Fed_Infants,Total_Infants,Total_Children,Total_Participants,MtM_Caseload_Difference,Gen_Admin_Money,Date,Fiscal_Month,Local_Agency,Time_Shift,Fiscal_Year,FFF_Infants_Est
2018,9,53,1550,116,44,127,47,334,16,165,146,327,614,1275,-3,21216,9/1/2018,Sep,LA 53,12/1/2018,FY18,21317.70333
2018,9,54,60900,3108,990,3795,2412,10305,342,4512,5841,10695,16059,37059,-179,438778.56,9/1/2018,Sep,LA 54,12/1/2018,FY18,852854.145
2018,9,56,4750,285,92,202,218,797,38,258,546,842,1334,2973,-100,47568,9/1/2018,Sep,LA 56,12/1/2018,FY18,79722.37
2018,9,58,3800,237,58,139,206,640,19,182,484,685,1185,2510,-14,35340.8,9/1/2018,Sep,LA 58,12/1/2018,FY18,70669.64667
2018,9,59,5000,448,106,344,276,1174,35,429,652,1116,1949,4239,-112,54259.2,9/1/2018,Sep,LA 59,12/1/2018,FY18,95199.60667
2018,9,60,1600,112,34,108,62,316,20,114,203,337,508,1161,-17,19319.04,9/1/2018,Sep,LA 60,12/1/2018,FY18,29640.36833
2018,9,61,2400,163,43,47,140,393,18,76,314,408,748,1549,-6,25775.36,9/1/2018,Sep,LA 61,12/1/2018,FY18,45847.66333
2018,9,62,1650,118,43,61,99,321,16,90,240,346,504,1171,-31,19485.44,9/1/2018,Sep,LA 62,12/1/2018,FY18,35042.8
2018,9,63,1500,70,27,44,80,221,11,76,152,239,376,836,-38,13911.04,9/1/2018,Sep,LA 63,12/1/2018,FY18,22193.77333
2018,9,64,1800,115,46,98,95,354,18,115,263,396,689,1439,28,24405.44,9/1/2018,Sep,LA 64,12/1/2018,FY18,38401.06833
2018,9,65,2800,201,34,55,271,561,17,77,569,663,895,2119,34,31191.68,9/1/2018,Sep,LA 65,12/1/2018,FY18,83080.63833
2018,9,67,2100,134,27,103,101,365,7,130,265,402,723,1490,0,24793.6,9/1/2018,Sep,LA 67,12/1/2018,FY18,38693.09167
2018,9,69,2850,214,63,117,179,573,26,163,379,568,1115,2256,17,36817.92,9/1/2018,Sep,LA 69,12/1/2018,FY18,55338.42167
2018,9,70,750,26,7,18,28,79,3,25,71,99,143,321,16,5444.16,9/1/2018,Sep,LA 70,12/1/2018,FY18,10366.82833
2018,9,71,12450,531,302,849,354,2036,106,1042,1043,2191,3432,7659,-67,95584.32,9/1/2018,Sep,LA 71,12/1/2018,FY18,152290.1683
2018,9,73,13750,1016,246,636,867,2765,90,819,2017,2926,5850,11541,-114,132952.32,9/1/2018,Sep,LA 73,12/1/2018,FY18,294505.5317
2018,9,74,1250,108,30,69,70,277,9,92,158,259,448,984,-14,16373.76,9/1/2018,Sep,LA 74,12/1/2018,FY18,23069.84333
2018,9,77,42500,3070,826,5212,1033,10141,322,5812,2588,8722,17332,36195,-339,544372.8,9/1/2018,Sep,LA 77,12/1/2018,FY18,377878.1933
2018,9,89,6050,316,184,535,57,1092,72,683,180,935,1692,3719,13,47603.2,9/1/2018,Sep,LA 89,12/1/2018,FY18,26282.1
2018,9,90,5850,410,82,556,200,1248,28,614,530,1172,2145,4565,-61,55510.4,9/1/2018,Sep,LA 90,12/1/2018,FY18,77386.18333
2018,9,95,2100,120,56,84,128,388,17,128,265,410,657,1455,43,24676.8,9/1/2018,Sep,LA 95,12/1/2018,FY18,38693.09167
2018,9,100,8600,548,142,674,336,1700,39,737,815,1591,2695,5986,-104,91944.96,9/1/2018,Sep,LA 100,12/1/2018,FY18,118999.5083
2018,9,105,1100,57,23,35,53,168,13,46,123,182,466,816,-16,13578.24,9/1/2018,Sep,LA 105,12/1/2018,FY18,17959.435
2018,9,108,6200,337,73,274,281,965,41,308,624,973,1655,3593,4,50589.44,9/1/2018,Sep,LA 108,12/1/2018,FY18,91111.28
2018,9,110,1100,58,17,61,52,188,7,80,112,199,389,776,-16,12912.64,9/1/2018,Sep,LA 110,12/1/2018,FY18,16353.30667
2018,9,126,1000,74,21,45,48,188,8,61,135,204,368,760,-18,12646.4,9/1/2018,Sep,LA 126,12/1/2018,FY18,19711.575
2018,9,132,8350,506,198,586,358,1648,84,719,862,1665,3106,6419,-243,98595.84,9/1/2018,Sep,LA 132,12/1/2018,FY18,125862.0567
2019,9,1,37450,1938,808,3180,633,6559,779,3191,1697,5667,10682,22908,-99,339954.72,9/1/2019,Sep,LA 1,12/1/2019,FY19,247781.7983
